Titre,Lien_du_titre,information,image,date,ldb,ldb1,information2,information3,notation_detail,Duree,Genre,Origine,Annee,Realisateur,Acteurs,Conseils,note,Synopsis
MARMAILLE,https://www.cine974.com/film/marmaille/49700/, 1,https://www.cine974.com/images/affiches/moyen/marmaille-SWVYHT3d.jpg,"
								2024								",1,5.0,1h32,509, (14),1h32,Drame,"Français, Réunionnais",2024,Grégory Lucilly,"
	
			avec Maxime Calicharane, Brillana Domitile Clain, Vincent Vermignon, Délixia Perrine, Grazellia Estagie,  plus...
	","conseillé en Famille, en Amoureux, entre Amis, entre Filles, entre Mecs, en Solo", 5.0 | 14 avis ,"Thomas, un adolescent réunionnais de 15 ans, n’aspire qu’à remporter un concours de breakdance et partir pour la métropole. Mais quand sa mère le met brutalement à la rue ainsi que sa sœur Audrey, leur monde s’effondre. Placés chez leur père inconnu et livrés à eux-mêmes, ils doivent surmonter l’abandon et se reconstruire."
LE SEIGNEUR DES ANNEAUX : LES DEUX TOURS,https://www.cine974.com/film/le-seigneur-des-anneaux-les-deux-tours/478/, 2,https://www.cine974.com/images/affiches/moyen/le-seigneur-des-anneaux---les-deux-tours-NW69H8qx.jpg,"
								2002								",2,4.9,2h58,12834, (14),2h58,Action,Américain,,Peter Jackson,"
	
			avec Elijah Wood, Sean Astin, Viggo Mortensen, Ian McKellen, Christopher Lee,  plus...
	",, 4.9 | 14 avis ,"Après la mort de Boromir et la disparition de Gandalf, la Communauté s'est scindée en trois. Perdus dans les collines d'Emyn Muil, Frodon et Sam découvrent qu'ils sont suivis par Gollum, une créature versatile corrompue par l'Anneau. Celui-ci promet de conduire les Hobbits jusqu'à la Porte Noire du Mordor. A travers la Terre du Milieu, Aragorn, Legolas et Gimli font route vers le Rohan, le royaume assiégé de Theoden. Cet ancien grand roi, manipulé par l'espion de Saroumane, le sinistre Langue de Serpent, est désormais tombé sous la coupe du malfaisant Magicien. Eowyn, la nièce du Roi, reconnaît en Aragorn un meneur d'hommes. Entretemps, les Hobbits Merry et Pippin, prisonniers des Uruk-hai, se sont échappés et ont découvert dans la mystérieuse Forêt de Fangorn un allié inattendu : Sylvebarbe, gardien des arbres, représentant d'un ancien peuple végétal dont Saroumane a décimé la forêt..."
YANNICK,https://www.cine974.com/film/yannick/49697/, 3,https://www.cine974.com/images/affiches/moyen/yannick-pidXUKUc.jpg,"
								2023								",3,4.9,1h07,314, (12),1h07,Comédie,Français,2023,Quentin Dupieux,"
	
			avec Raphaël Quenard, Pio Marmai, Blanche Gardin, Sébastien Chassagne, Agnès Hurstel,  plus...
	","conseillé en Amoureux, entre Amis, entre Filles, entre Mecs, en Solo", 4.9 | 12 avis ,"En pleine représentation de la pièce « Le Cocu », un très mauvais boulevard, Yannick se lève et interrompt le spectacle pour reprendre la soirée en main."
WATCHMEN - LES GARDIENS,https://www.cine974.com/film/watchmen-les-gardiens/1156/, 4,https://www.cine974.com/images/affiches/moyen/watchmen---les-gardiens-lSp3LhZb.jpg,"
								2009								",4,4.8,2h42,8638, (71),2h42,Action,"Américain, Britannique",2009,Zack Snyder,"
	
			avec Jackie Earle Haley, Patrick Wilson, Malin Akerman, Matthew Goode, Billy Crudup,  plus...
	",Interdit aux moins de 12 ans , 4.8 | 71 avis ,"Aventure à la fois complexe et mystérieuse sur plusieurs niveaux, ""Watchmen - Les Gardiens"" - se passe dans une Amérique alternative de 1985 où les super-héros font partie du quotidien et où l'Horloge de l'Apocalypse -symbole de la tension entre les Etats-Unis et l'Union Soviétique- indique en permanence minuit moins cinq. Lorsque l'un de ses anciens collègues est assassiné, Rorschach, un justicier masqué un peu à plat mais non moins déterminé, va découvrir un complot qui menace de tuer et de discréditer tous les super-héros du passé et du présent. Alors qu'il reprend contact avec son ancienne légion de justiciers -un groupe hétéroclite de super-héros retraités, seul l'un d'entre-eux possède de véritables pouvoirs- Rorschach entrevoit un complot inquiétant et de grande envergure lié à leur passé commun et qui aura des conséquences catastrophiques pour le futur. Leur mission est de protéger l'humanité... Mais qui veille sur ces gardiens ?"
BODYGUARD,https://www.cine974.com/film/bodyguard/3414/, 5,https://www.cine974.com/images/affiches/moyen/bodyguard-3Ids8fAZ.jpg,"
								1992								",5,4.8,2h09,7157, (31),2h09,Comédie dramatique,Américain,,Mick Jackson,"
	
			avec Kevin Costner, Whitney Houston, Gary Kemp, Bill Cobbs, Ralph Waite,  plus...
	",, 4.8 | 31 avis ,"Frank Farmer, ancien agent des services secrets, est un garde du corps emerite qui a mis ses talents a la disposition de deux presidents et de nombreux financiers et politiciens de reputation internationale. Un jour l'impresario Bill Devaney lui propose un contrat avantageux pour assurer la protection de sa cliente Rachel, comedienne et chanteuse en pleine ascension, menacee par un fan inconnu."
CHER JOHN,https://www.cine974.com/film/cher-john/24839/, 6,https://www.cine974.com/images/affiches/moyen/cher-john-A9FVFYSk.jpg,"
								2010								",6,4.8,1h45,7086, (12),1h45,Drame,Américain,2010,Lasse Hallström,"
	
			avec Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, Scott Porter,  plus...
	",, 4.8 | 12 avis ,"Lorsque John Tyree, un soldat des Forces Spéciales en permission, et Savannah Curtis, une étudiante idéaliste, se rencontrent sur une plage, c'est le coup de foudre. Bien qu'appartenant à deux mondes différents, une passion absolue les réunit pendant deux semaines. John repart ensuite en mission et Savannah retourne à l'université, mais ils promettent de s'écrire et à travers leurs lettres enflammées, leur amour ne fait que grandir. Chaque jour plus inquiète pour la sécurité de son bien-aimé, Savannah s'interroge. Alors que désirs et responsabilités s'opposent toujours plus, le couple lutte pour maintenir ses engagements. Quand une tragédie oblige John à rentrer, les deux jeunes gens se retrouvent face à leurs contradictions. John et Savannah vont découvrir si leur amour peut vraiment survivre à tout..."
ETERNAL SUNSHINE OF THE SPOTLESS MIND,https://www.cine974.com/film/eternal-sunshine-of-the-spotless-mind/904/, 7,https://www.cine974.com/images/affiches/moyen/eternal-sunshine-of-the-spotless-mind-VWJCcsk4.jpg,"
								2004								",7,4.7,1h48,7069, (114),1h48,Comédie,Américain,2004,Michel Gondry,"
	
			avec Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood,  plus...
	",, 4.7 | 114 avis ,"Joel et Clementine ne voient plus que les mauvais côtés de leur tumultueuse histoire d'amour, au point que celle-ci fait effacer de sa mémoire toute trace de cette relation. Effondré, Joel contacte l'inventeur du procédé Lacuna, le Dr. Mierzwiak, pour qu'il extirpe également de sa mémoire tout ce qui le rattachait à Clementine. Deux techniciens, Stan et Patrick, s'installent à son domicile et se mettent à l'oeuvre, en présence de la secrétaire, Mary. Les souvenirs commencent à défiler dans la tête de Joel, des plus récents aux plus anciens, et s'envolent un à un, à jamais. Mais en remontant le fil du temps, Joel redécouvre ce qu'il aimait depuis toujours en Clementine - l'inaltérable magie d'un amour dont rien au monde ne devrait le priver. Luttant de toutes ses forces pour préserver ce trésor, il engage alors une bataille de la dernière chance contre Lacuna..."
LE TOMBEAU DES LUCIOLES,https://www.cine974.com/film/le-tombeau-des-lucioles/404/, 8,https://www.cine974.com/images/affiches/moyen/le-tombeau-des-lucioles-rkrhtaZ1.jpg,"
								1988								",8,4.7,1h30,18624, (106),1h30,Animation,Japonais,1988,Isao Takahata,"
	
			avec J. Robert Spencer, Ayano Shiraishi, Veronica Taylor, Amy Jones, Rhoda Chrosite,  plus...
	",, 4.7 | 106 avis ,"Japon, été 1945. Après le bombardement de Kobé, Seita, un adolescent de quatorze ans et sa petite soeur de quatre ans, Setsuko, orphelins, vont s'installer chez leur tante à quelques dizaines de kilomètres de chez eux. Celle-ci leur fait comprendre qu'ils sont une gêne pour la famille et doivent mériter leur riz quotidien. Seita décide de partir avec sa petite soeur. Ils se réfugient dans un bunker désaffecté en pleine campagne et vivent des jours heureux illuminés par la présence de milliers de lucioles. Mais bientôt la nourriture commence cruellement à manquer."
UN P'TIT TRUC EN PLUS,https://www.cine974.com/film/un-p-tit-truc-en-plus/49254/, 9,https://www.cine974.com/images/affiches/moyen/un-p-tit-truc-en-plus-WlMiIlfL.jpg,"
								2024								",9,4.7,1h39,21308, (95),1h39,Comédie,Français,2024,Artus,"
	
			avec Artus, Clovis Cornillac, Alice Belaïdi, Marc Riso, Céline Groussard,  plus...
	","conseillé en Famille, en Amoureux, entre Amis, entre Filles, entre Mecs, en Solo", 4.7 | 95 avis ,"Pour échapper à la police, un fils et son père en cavale sont contraints de trouver refuge dans une colonie de vacances pour jeunes adultes en situation de handicap, se faisant passer pour un pensionnaire et son éducateur spécialisé. Le début des ennuis et d'une formidable expérience humaine qui va les changer à jamais."
MANON DES SOURCES,https://www.cine974.com/film/manon-des-sources/485/, 10,https://www.cine974.com/images/affiches/moyen/manon-des-sources-hFyFpVqh.jpg,"
								1986								",10,4.7,2h00,6576, (58),2h00,Drame,"Français, Italien",,Claude Berri,"
	
			avec Yves Montand, Daniel Auteuil, Emmanuelle Béart, Hippolyte Girardot, Elisabeth Depardieu,  plus...
	",, 4.7 | 58 avis ,"Dix ans plus tard. Manon vit dans la grotte de Baptistine dans les collines tandis que Ugolin culpabilise, amoureux fou de la belle. Elle va découvrir la source qui alimente le village et la détourner. Elle tient enfin sa vengeance. Peu à peu les langues du village se délient. La loi du silence est rompue et le Papet et Ugolin sont accusés d'avoir tué le père de Manon, Jean de Florette. Pour le Papet une autre terrible vérité éclate..."
