tconst,originalTitle,titleType,startYear,genres,runtimeMinutes,akas_title,region,averageRating,numVotes,overview,poster_path,production_countries
tt22749100,Invincible,short,2022,"['Drama', 'Short']",30,Invincible,FR,7.1,1743,"Inspired by a true story, Invincible recounts the last 48 hours in the life of Marc-Antoine Bernier, a 14-year-old boy on a desperate quest for freedom.",/ighZtyst3DzraVaCMCkx8M8jo3U.jpg,['CA']
tt24216364,Guillermo del Toro's Pinocchio: Handcarved Cinema,short,2022,"['Documentary', 'Short']",37,Pinocchio par Guillermo del Toro: Dans l'atelier d'un cinéaste,FR,7.6,760,"With mesmerizing footage and time lapses of animators at work, this behind-the-scenes special captures the artistry of a unique tale years in the making.",/pEd6yeA27vEoliWq1nfJHrmSiug.jpg,['']
tt22667880,"The Boy, the Mole, the Fox and the Horse",short,2022,"['Adventure', 'Animation', 'Comedy']",32,"L'enfant, la taupe, le renard et le cheval",FR,7.8,19269,"The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy’s search for home.",/oQRgyQCzcyZvE6w5heM9ktVY0LT.jpg,"['GB', ' US']"
tt16965946,Nest,short,2022,"['Drama', 'Short']",22,Nid,FR,7.3,1251,"A story of siblings building a tree house together over the course of a year. We experience the beauty and brutality of the seasons, as we follow them through their struggles and moments of joy.",/6PKVdaZ3xn4GyRxYPB5OL54X5MI.jpg,"['DK', ' IS']"
tt13224590,Les criminels,short,2020,"['Drama', 'Short']",24,Les criminels,FR,7.1,1108,"Late at night in a small Turkish town, a young couple tries to find a hotel room to spend the night together. They are rejected from all hotels for not having a marriage certificate. Once they believe they’ve found a trick to use, the situation gets out of hand.",/91u3JNPuNpZp0VRCmsSwReBRop3.jpg,"['FR', ' RO', ' TR']"
tt13362084,Opal,short,2020,"['Animation', 'Horror', 'Musical']",13,Opal,FR,7.7,1907,A curious girl investigates the cries she hears coming from a forbidden house across the street.,/rabp6OsDUzUUcL7M5EEl4t1JnhD.jpg,['US']
tt11768948,If Anything Happens I Love You,short,2020,"['Animation', 'Drama', 'Short']",13,"Quoi qu'il arrive, je vous aime",FR,7.8,22135,Grieving parents journey through an emotional void as they mourn the loss of a child in the aftermath of a tragic school shooting.,/85tDhACvKDQxQoJhBYLvDU0ik1n.jpg,['US']
tt11002468,Alive,short,2020,"['Drama', 'Short']",23,Alive - En vie,FR,7.2,1982,Victoria is disabled and she yearns after intimacy and her assistant Ida offers to help by making a Tinder profile. Victoria gets a match but the guy she is matching with is very shady and Ida gets worried what might happen if they meet,/fsub67KLyMq5JGcB2KE5spvL0nB.jpg,['SE']
tt11952320,To: Gerard,short,2020,"['Animation', 'Drama', 'Family']",7,To Gerard,FR,7.3,704,A sprightly elderly man brightens the day of a little girl through magic.,/8tcZ1jNgXHUHfo8PuJdqIhxTYNf.jpg,['US']
tt11474480,Al-hadiya,short,2020,"['Drama', 'Short']",24,The Present,FR,7.6,4108,"On his wedding anniversary, Yusef and his young daughter set out in the West Bank to buy his wife a gift. Between soldiers, segregated roads and checkpoints, how easy would it be to go shopping?",/kPou4N6kfuzmatjTLpMYofubIXq.jpg,"['PS', ' QA', ' GB']"
tt0263091,Babfilm,short,1976,"['Animation', 'Sci-Fi', 'Short']",12,Scenes with Beans,FR,7.5,1074,"A strange creature visits a very strange planet, where it watches the lives of the beans, the inhabitants of the planet. When the beans notice the creature's watchful eyes, they drive it away.",/ueWne8mLq1RGkjWcg1P21O6EZqa.jpg,['HU']
tt7925798,Ce magnifique gâteau!,short,2018,"['Animation', 'Comedy', 'Drama']",44,Ce magnifique gâteau!,FR,7.1,1352,"In 1885, Africa is a succulent cake destined to be wildly divided and everyone wants a piece. A disturbed European king, a Pygmy working in a luxury hotel, a successful but lonely businessman, an enslaved porter, a young army deserter, a ghostly clarinetist. Some benefit from colonialism and greed. Others suffer racism and violence.",/8zc7VOgCFKjZrwDtoVtF4Hx0e2r.jpg,"['BE', ' FR', ' NL']"
tt5884888,20 Seconds of Courage,short,2016,"['Drama', 'Short']",38,20 secondes de courage,FR,7.9,705,"Five boys and girls. Five small courage. Five different stories. But all linked together.  From acclaimed director/writer Shunsuke Okubo (""Clocks Tell the Time"" and ""Moments"")",/cLTIjwioxEdyJ5JKpMbShBBYBdn.jpg,['GB']
tt6821222,Dante's Lunch: A Short Tail,short,2017,"['Animation', 'Comedy', 'Family']",2,Le repas de Dante,FR,7.0,1109,"Every dog has his day, but poor Dante can't seem to catch a break.",/303lFHSSHSpJdINBeEesG9LPgpI.jpg,['US']
tt5926890,DeKalb Elementary,short,2017,"['Drama', 'Short']",21,DeKalb Elementary,FR,7.5,1054,"Inspired by an actual 911 call placed during a school shooting incident in Atlanta, Georgia.",/ug506C550lWVGJKP6DM18EMxFt6.jpg,['US']
tt6267732,Lou,short,2017,"['Animation', 'Comedy', 'Family']",7,LOU,FR,7.8,8618,A Pixar short about a lost-and-found box and the unseen monster within.,/4G2CdCQjtZYYurVuO38dAcnJYuJ.jpg,['US']
tt5467670,Ennemis intérieurs,short,2016,"['Drama', 'Short']",27,Ennemis intérieurs,FR,7.0,820,"During the 90s, Algerian terrorism reaches France. Two men. Two identities. One battle.",/oOqdjZf5RYbRUXQQGPYCL58At4B.jpg,['FR']
tt1425244,Partly Cloudy,short,2009,"['Animation', 'Comedy', 'Family']",6,Passages nuageux,FR,8.1,23949,"Everyone knows that the stork delivers babies, but where do the storks get the babies from? The answer lies up in the stratosphere, where cloud people sculpt babies from clouds and bring them to life. Gus, a lonely and insecure grey cloud, is a master at creating ""dangerous"" babies. Crocodiles, porcupines, rams and more - Gus's beloved creations are works of art, but more than a handful for his loyal delivery stork partner, Peck. As Gus's creations become more and more rambunctious, Peck's job gets harder and harder. How will Peck manage to handle both his hazardous cargo and his friend's fiery temperament?",/oqYX2AJV53ibLVPrUZ1Z5XlGv5U.jpg,['US']
tt0065794,The Grandmother,short,1970,"['Animation', 'Horror', 'Short']",34,The Grandmother,FR,7.1,7512,"To escape neglect and abuse from his parents, a young boy plants some strange seeds and they grow into a grandmother.",/llhiY0rV6RWU1LOdy9Zljhf7cXm.jpg,['US']
tt0097564,Ilha das Flores,short,1989,"['Documentary', 'Short']",13,L'île aux fleurs,FR,8.5,6710,"A tomato is planted, harvested and sold at a supermarket, but it rots and ends up in the trash. But it doesn’t end there: Isle of Flowers follows it up until its real end, among animals, trash, women and children. And then the difference between tomatoes, pigs and human beings becomes clear.",/sGLv72iYI46tNldBSjYp4GIz1sw.jpg,['BR']
tt0060410,Film,short,1965,"['Drama', 'Short']",20,Film,FR,7.4,2354,A man attempts to evade observation by an all-seeing eye.,/tPkgBEpq1Rx7wcTFEjZFRhbTLrd.jpg,['US']
tt0160210,Les dites cariatides,short,1984,"['Documentary', 'Short']",12,Les dites cariatides,FR,7.0,871,"Commissioned by French television, this is a short documentary on the neo-classical statues found throughout Paris, predominantly on the walls of buildings, holding up windows, roofs etc.",/sospfiRpt5TQMLF0Ny7BGGtIR4R.jpg,['FR']
tt0211319,Cousin,short,1999,"['Animation', 'Biography', 'Drama']",4,Cousin,FR,7.2,874,"Adam tells us the story of an older cousin, who had cerebral palsy. Adam would go over to play, and they'd dress as superheroes, jump off the shed, and run about the the street with an old shopping trolley. Adam explains his cousin's wayward left arm, his strong right one, his aunt's understanding of her son's rages (""bake a cake,"" she'd tell him), and the boy's love of swimming. On Adam's eighth birthday, the cousins are separated by tragedy; it's left to Adam to wonder about his cousin, and if he still smells of licorice.",/8EC6Xt2h85zazSz3D0o1w8O2KgJ.jpg,['AU']
tt0127710,La vieille dame et les pigeons,short,1996,"['Animation', 'Comedy', 'Drama']",25,La vieille dame et les pigeons,FR,7.8,3020,"A starving gendarme, wasting away from hunger, is reduced to grabbing castoff snacks from fat American tourists. When he sees as old woman feeding pigeons, in desperation he hits on the bizarre idea of dressing up as one...",/bh3xjLeLTSxtgoMkyGwE62tg1Ty.jpg,"['CA', ' FR', ' BE', ' GB']"
tt0110547,Le moine et le poisson,short,1994,"['Animation', 'Comedy', 'Music']",6,Le moine et le poisson,FR,7.1,1397,"A plump and exuberant monk goes fishing, and a playful fish eludes him. First the monk uses a rod and reel, then a net; over and over, he ends up fish-less and wet. Sleepless, he tries luring the fish at night with a bank of candles. He tries a bow and arrow. The tireless and insouciant fish leads the monk through a viaduct, over irrigated steppes, across cisterns, down canals. Suddenly, the monk's chase and the fish's teasing flight become a spiritual journey.",/r2T64qLkVHdll5sw5iDVa7OYbhA.jpg,['FR']
tt0279079,Father and Daughter,short,2000,"['Animation', 'Drama', 'Short']",8,Père et fille,FR,7.8,7115,"A father says goodbye to his young daughter. In time the daughter grows old, but within her there is always a deep longing for her father.",/ubbjdHHMklvSJ1OtKruiA2otF4t.jpg,"['BE', ' NL', ' GB']"
tt0118036,Une robe d'été,short,1996,"['Comedy', 'Drama', 'Romance']",15,Une robe d'été,FR,7.0,2305,"It's summer. Sébastien loves Sheila. Lucia loves boys. As for Frédéric, all he wants to do is work on his tan.",/zSpAhBbjtwkVWh5k5MB8dH0CbxF.jpg,['FR']
