tconst,startYear,genres,runtimeMinutes,akas_title,averageRating,overview,poster_path,production_countries,primaryName,overview_fr
tt0054593,1961,"['Adventure', ' Animation', ' Comedy']",7,L'Abominable Lapin des Neiges,7.5,"Bugs and Daffy get lost on the way to Palm Springs and end up in the Himalayas, where they meet an Abominable Snowman who has always wanted a rabbit for a pet.",/77k2XXo6O8LmaVGuQP3bdIuRFbN.jpg,['US'],['Chuck Jones'],"Bugs et Daffy se perdent sur le chemin de Palm Springs et finissent dans l'Himalaya, où ils rencontrent un bonhomme de neige abominable qui a toujours voulu un lapin pour un animal de compagnie."
tt0054674,1961,"['Animation', ' Comedy', ' Family']",6,Bip-Bip toujours prêt,7.2,"Wile E. Coyote tries and fails to catch the Road Runner using his foot extended to trip, an arrow, a hole in the road.",/mgzLUCMjTcjGLfcBp2nT0r4eNNG.jpg,['US'],['Chuck Jones'],"Wile E. Coyote essaie et ne parvient pas à attraper le Road Runner en utilisant son pied étendu pour faire un voyage, une flèche, un trou dans la route."
tt0054854,1961,"['Animation', ' Comedy', ' Family']",10,Le succêdanê,7.2,Simple story about the man who goes to the beach and uses inflatable objects for all of his needs.,/pSoP87jXYlmrCO5KouVYkVnqsb.jpg,['YU'],['Dusan Vukotic'],Histoire simple sur l'homme qui va à la plage et utilise des objets gonflables pour tous ses besoins.
tt0055715,1963,"['Documentary', ' Short']",27,...à Valparaiso,7.5,"In 1962 Joris Ivens was invited to Chile for teaching and filmmaking. Together with students he made …À Valparaiso, one of his most poetic films. Contrasting the prestigious history of the seaport with the present the film sketches a portrait of the city, built on 42 hills, with its wealth and poverty, its daily life on the streets, the stairs, the rack railways and in the bars. Although the port has lost its importance, the rich past is still present in the impoverished city. The film echoes this ambiguous situation in its dialectical poetic style, interweaving the daily life reality (of 1963) with the history of the city and changing from black and white to colour, finally leaving us with hopeful perspective for the children who are playing on the stairs and hills of this beautiful town.",/meaV1OEdBgFt0iQ3NVoGr9mv1cN.jpg,"['CL', '  FR']","['Joris Ivens', ' Joris Ivens']","En 1962, Joris Ivens est invité au Chili pour l'enseignement et le cinéma. Avec des étudiants, il réalise ...À Valparaiso, l'un de ses films les plus poétiques. Contrastant l'histoire prestigieuse du port maritime avec le présent le film dessine un portrait de la ville, construit sur 42 collines, avec sa richesse et sa pauvreté, sa vie quotidienne dans les rues, les escaliers, les chemins de fer et dans les bars. Bien que le port ait perdu son importance, le riche passé est encore présent dans la ville appauvrie. Le film fait écho à cette situation ambiguë dans son style poétique dialectique, entrelacant la réalité quotidienne (de 1963) avec l'histoire de la ville et changeant de noir et blanc à la couleur, nous laissant enfin avec espoir pour les enfants qui jouent sur les escaliers et les collines de cette belle ville."
tt0056066,1962,"['Action', ' Comedy', ' Short']",15,Heureux anniversaire,7.2,"Heureux Anniversaire is a 1962 French short comedy film directed by Pierre Étaix. While his wife impatiently waits and gets drunk, a husband tries to get the appropriate anniversary gifts and fight his way home through traffic in time for their celebratory lunch. It won an Oscar in 1963 for Best Short Subject.",/rvDZMdeYOMQM4TVdDq42PdDjGaG.jpg,['FR'],"['Jean-Claude Carrière', ' Pierre Étaix']","Heureux Anniversaire est un court-métrage français réalisé en 1962 par Pierre Étaix. Alors que sa femme attend et s'enivre avec impatience, un mari tente d'obtenir les cadeaux d'anniversaire appropriés et de combattre son chemin à la maison à travers la circulation à temps pour leur déjeuner de célébration."
tt0056119,1962,"['Drama', ' Romance', ' Sci-Fi']",28,La jetée,8.2,A man is sent back and forth and in and out of time in an experiment that attempts to unravel the fate and the solution to the problems of a post-apocalyptic world during the aftermath of WW3. The experiment results in him getting caught up in a perpetual reminiscence of past events that are recreated on an airport’s viewing pier.,/tEmHd86DRbTTK7guyxSy7KwlgoI.jpg,['FR'],['Chris Marker'],Un homme est envoyé en allers et retours dans et hors du temps dans une expérience qui tente de démêler le destin et la solution aux problèmes d'un monde post-apocalyptique à la suite de la WW3. L'expérience a pour résultat qu'il se retrouve pris dans un perpétuel souvenir des événements passés qui sont recréés sur une jetée d'observation aéroport.
tt0056300,1961,"['Adventure', ' Drama', ' Fantasy']",28,La rivière du hibou,8.1,"A southerner in the American Civil War is about to be hanged from a bridge for sabotage when the noose suddenly breaks. After he plunges into the water below, he must find a way to free himself, evade enemy forces and flee to safety.",/5sxSZCNtG57ahBlXKkfB43e4bMe.jpg,['FR'],['Robert Enrico'],"Un méridional de la guerre civile américaine est sur le point d'être pendu à un pont pour sabotage lorsque la corde se brise soudainement. Après avoir plongé dans l'eau en bas, il doit trouver un moyen de se libérer, d'échapper aux forces ennemies et de fuir en toute sécurité."
tt0056662,1962,"['Documentary', ' Short', ' Sport']",18,Vive le tour,7.4,"A short documentary about the 1962 Tour-de-France. Topics covered include: crowds of people and motorcycles, drinking raids and feeding, pileups, doping, ""the charge,"" and the mountain stages.",/7IN5AESMnYbdmCJa5wfyZRVpkEa.jpg,['FR'],['Louis Malle'],"Un court documentaire sur le Tour-de-France 1962. Les sujets abordés incluent: foules de personnes et de motos, descentes à boire et alimentation, empilements, dopage, « la charge », et les étapes de montagne."
tt0056884,1963,"['Romance', ' Short']",23,La boulangère de Monceau,7.3,"Early new wave effort from Rohmer, which was the first of his six moral tales. It concerns a young man who approaches a girl in the street, but after several days without seeing her again, he becomes involved with the girl in the local bakery. Eventually, he has to choose between them when he arranges dates with them on the same day.",/zSNRv4hvTwNnOYKbWZNPjiilW7H.jpg,"['DZ', '  FR']","['Éric Rohmer', ' Éric Rohmer']","Il s'agit d'un jeune homme qui s'approche d'une fille dans la rue, mais après plusieurs jours sans la revoir, il s'implique avec la fille dans la boulangerie locale. Finalement, il doit choisir entre eux lorsqu'il prend rendez-vous avec eux le même jour."
tt0057450,1963,"['Animation', ' Short']",10,Renaissance,7.0,"To the sound of trumpets, a collection of pulverised antique bric-a-brac begins to reassemble itself, revealing a stuffed owl, a cornet, a hamper, books, a doll, a plate – and a bomb...",/rWry8cxDjZLcqQDRkgOXUIdoqu.jpg,['FR'],['Walerian Borowczyk'],"Au son des trompettes, une collection de bric-a-brac antique pulvérisé commence à se réassembler, révélant une chouette farcie, une cornet, un panier, des livres, une poupée, une assiette – et une bombe..."
